Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1961,1961,C,0.746,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1962,1962,C,0.009,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1963,1963,C,2.695,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1964,1964,C,-5.277,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1965,1965,C,1.827,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1966,1966,C,3.629,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1967,1967,C,-1.436,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1968,1968,C,0.388,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1969,1969,C,-2.26,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1970,1970,C,0.813,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1971,1971,C,-1.483,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1972,1972,C,-1.309,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1973,1973,C,-2.947,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1974,1974,C,-1.227,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1975,1975,C,-0.501,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1976,1976,C,2.456,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1977,1977,C,-2.93,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1978,1978,C,-0.606,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1979,1979,C,1.195,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1980,1980,C,-0.314,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1981,1981,C,1.752,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1982,1982,C,0.711,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1983,1983,C,0.546,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1984,1984,C,-0.043,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1985,1985,C,0.498,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1986,1986,C,0.402,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1987,1987,C,2.748,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1988,1988,C,1.323,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1989,1989,C,-1.112,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1990,1990,C,0.678,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1991,1991,C,0.057,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1992,1992,C,0.64,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1993,1993,C,-0.726,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1994,1994,C,1.122,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1995,1995,C,1.322,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1996,1996,C,-0.684,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1997,1997,C,1.444,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1998,1998,C,0.857,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,1999,1999,C,0.766,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2000,2000,C,1.596,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2001,2001,C,-0.569,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2002,2002,C,1.64,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2003,2003,C,2.536,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2004,2004,C,2.744,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2005,2005,C,0.172,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2006,2006,C,-1.493,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2007,2007,C,0.582,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2008,2008,C,-5.405,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2009,2009,C,1.633,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2010,2010,C,3.755,Fc,Calculated data
