age,height,weight,gender,likeness
34.0,133.7,58,Male,Biryani
27.0,145.5,62,Male,Biryani
30.5,148.0,40,Female,Biryani
25.0,150.5,90,Male,Biryani
25.0,150.5,47,Female,Biryani
27.0,151.0,64.3,Female,Biryani
20.0,152.4,70,Male,Biryani
24.0,152.4,50,Female,Biryani
27.0,152.4,75,Male,Biryani
26.0,154.0,55,Female,Biryani
30.0,154.5,65,Female,Biryani
21.0,155.0,58,Female,Samosa
22.0,155.0,50,Male,Biryani
20.0,155.0,48,Male,Biryani
26.8,155.4,65,Male,Biryani
39.0,155.4,102,Male,Biryani
31.8,155.5,61.5,Male,Biryani
44.0,155.7,85,Male,Biryani
21.0,5.6,71.5,Male,Biryani
39.0,157.0,53,Male,Pakora
33.0,157.0,56,Female,Samosa
32.0,157.5,51,Female,Biryani
47.5,158.5,90,Female,Samosa
33.0,158.5,46.7,Female,Biryani
38.0,160.0,62,Female,Biryani
26.8,160.0,60,Female,Biryani
31.0,160.0,60,Male,Pakora
26.0,161.3,60,Male,Samosa
30.0,161.5,62,Female,Biryani
33.0,162.0,93,Male,Biryani
22.1,162.5,64,Male,Samosa
28.3,162.6,46,Female,Biryani
27.0,163.0,50,Male,Pakora
29.0,163.5,65,Male,Pakora
38.0,163.5,72.2,Male,Pakora
29.0,164.0,67,Male,Biryani
19.0,164.0,50,Male,Samosa
30.0,164.0,75,Male,Samosa
30.0,164.0,60,Male,Biryani
35.0,164.0,72,Male,Biryani
30.5,164.2,86,Male,Biryani
26.0,164.5,55,Male,Samosa
27.0,164.5,57,Female,Samosa
27.0,164.5,59,Female,Biryani
26.0,164.6,90,Male,Biryani
46.1,164.6,75,Male,Samosa
31.0,164.6,68,Male,Samosa
41.0,165.0,70,Male,Biryani
28.0,5.1,79,Male,Pakora
25.4,165.0,102,Male,Biryani
29.6,165.0,70,Female,Biryani
32.0,165.0,78,Male,Biryani
35.0,165.0,75,Female,Biryani
23.0,165.0,53,Male,Samosa
30.3,165.0,60,Female,Pakora
40.0,165.0,71,Male,Pakora
28.0,165.0,56,Female,Biryani
25.0,165.0,70,Male,Samosa
28.0,5.11,76,Male,Biryani
27.0,165.0,63,Male,Biryani
23.0,5.6,60,Male,Biryani
21.0,165.1,45,Female,Biryani
30.0,166.0,90,Male,Biryani
21.0,166.0,62,Male,Biryani
31.0,166.0,54,Female,Biryani
25.0,166.0,66,Male,Biryani
27.0,167.0,54,Male,Pakora
21.0,167.4,60,Male,Biryani
27.0,167.5,58,Female,Biryani
38.0,13.7,72.6,Male,Pakora
36.0,167.5,62,Male,Biryani
26.5,167.6,68.5,Male,Biryani
30.0,167.6,65,Female,Biryani
37.0,167.6,77,Male,Biryani
29.0,167.6,65,Female,Pakora
23.8,167.6,66,Male,Biryani
24.0,5.7,86,Male,Biryani
19.0,167.6,55.2,Male,Biryani
25.0,5.6,43,Female,Samosa
31.5,167.6,57,Male,Biryani
22.0,5.4,76,Male,Biryani
28.0,168.0,74,Male,Biryani
25.0,168.0,75,Male,Pakora
25.0,168.0,55,Male,Biryani
30.3,169.0,60,Male,Pakora
32.6,169.0,86,Male,Biryani
33.0,6,91,Male,Biryani
27.0,169.0,85,Male,Biryani
32.0,169.1,50,Male,Biryani
27.0,170.0,77,Male,Biryani
24.0,170.0,68,Male,Biryani
35.0,170.0,65,Male,Biryani
27.0,170.0,46,Female,Biryani
25.0,5,70,Male,Biryani
21.0,170.0,60,Male,Samosa
27.0,170.0,82,Male,Samosa
30.0,170.0,65,Male,Biryani
27.0,170.0,88,Male,Samosa
33.0,170.0,74,Male,Biryani
24.0,170.2,86,Male,Pakora
30.0,170.2,73.8,Male,Pakora
32.0,170.5,74,Male,Biryani
30.0,170.5,75,Male,Biryani
19.7,170.6,52,Male,Biryani
23.0,170.7,59,Male,Biryani
25.0,170.7,55,Male,Biryani
32.0,59,10.92,Male,Biryani
27.0,170.7,76,Male,Biryani
25.0,170.7,59,Male,Biryani
24.0,170.8,45,Female,Pakora
29.0,171.0,80,Male,Biryani
32.0,171.0,84.5,Male,Biryani
33.5,171.0,59,Male,Pakora
22.0,171.0,64,Male,Samosa
27.1,172.0,93,Male,Biryani
44.0,172.0,78,Male,Biryani
31.0,172.0,86,Male,Biryani
30.0,172.0,78,Male,Biryani
26.0,172.0,70,Male,Biryani
27.0,6,51,Male,Samosa
25.9,172.7,130,Male,Samosa
27.0,173.0,102,Male,Biryani
24.0,173.0,68,Male,Biryani
30.5,173.0,75,Male,Biryani
68.0,71,68,Male,Pakora
24.0,173.0,87,Male,Biryani
35.0,173.0,82,Male,Biryani
28.0,173.0,161,Male,Samosa
28.0,173.0,96,Male,Biryani
32.0,173.0,74,Male,Biryani
20.0,173.0,78,Male,Pakora
25.3,173.3,72.5,Male,Biryani
24.0,173.5,75,Male,Biryani
31.0,173.7,102.3,Male,Biryani
40.0,173.7,97,Male,Pakora
24.0,173.7,57,Male,Biryani
30.0,173.7,75,Female,Biryani
23.0,173.7,62,Female,Biryani
38.1,173.8,81.5,Male,Biryani
28.0,174.0,46,Female,Biryani
26.5,174.0,78,Male,Samosa
28.0,174.0,74,Male,Biryani
26.0,174.1,76,Male,Samosa
22.0,175.0,76,Male,Biryani
20.0,14.4,53,Female,Biryani
24.0,175.0,55,Male,Biryani
24.0,175.0,82,Male,Biryani
34.0,175.0,82,Male,Pakora
34.0,175.5,79,Male,Samosa
36.5,175.5,80,Male,Samosa
29.0,176.0,78,Male,Samosa
27.0,176.0,64,Male,Pakora
28.0,5.7,68,Male,Biryani
27.6,5.4,63.4,Male,Samosa
27.0,176.0,55,Male,Pakora
18.4,176.0,55.6,Male,Biryani
19.0,15.2,50.4,Male,Biryani
20.0,176.0,54,Male,Pakora
23.0,176.0,71,Male,Samosa
34.0,176.5,98,Male,Biryani
28.0,176.5,68,Male,Samosa
34.0,176.5,98,Male,Biryani
29.1,176.7,50.9,Female,Biryani
44.0,176.8,70,Male,Biryani
29.0,154.5,6,Female,Biryani
24.3,177.0,93,Male,Biryani
34.0,177.8,82.72,Male,Samosa
27.0,177.8,67,Male,Biryani
42.0,70,179,Male,Biryani
25.0,1.85,88,Male,Biryani
28.0,177.8,84,Male,Biryani
21.0,1.7,50,Male,Samosa
22.5,178.0,62,Male,Samosa
25.0,178.0,70,Male,Biryani
26.5,178.0,80,Male,Pakora
30.0,178.0,88,Male,Samosa
28.0,178.0,77,Male,Biryani
26.0,5.11,70,Male,Biryani
43.0,178.0,85,Male,Biryani
30.0,178.5,84,Male,Pakora
24.0,179.0,70,Male,Biryani
29.0,179.0,78,Male,Pakora
24.0,179.0,65,Male,Biryani
29.0,179.0,73,Male,Samosa
31.0,179.5,85,Male,Biryani
21.0,5.7,68,Male,Biryani
31.0,179.5,86,Male,Pakora
31.0,179.5,86,Male,Samosa
32.0,570,80,Male,Biryani
29.0,74,5 foot 5 inch,Male,Biryani
27.0,5.7,80,Male,Biryani
35.0,179.8,75,Male,Pakora
26.5,179.8,96,Male,Biryani
25.0,5'.4'',64,Male,Samosa
37.0,179.8,68,Male,Biryani
40.0,5,80,Male,Biryani
30.0,180.0,63,Male,Samosa
20.0,5.1,40,Female,Biryani
25.0,180.0,55.5,Male,Biryani
29.0,180.0,71,Male,Biryani
29.0,180.0,78,Male,Biryani
29.7,180.0,67,Male,Biryani
28.0,5.1,65,Female,Samosa
20.5,180.3,81,Male,Biryani
32.0,181.0,87.5,Male,Biryani
25.8,181.0,63,Male,Biryani
25.0,181.0,62,Male,Pakora
27.8,5.3,62,Female,Biryani
28.4,181.0,76,Male,Pakora
22.0,181.0,67,Male,Biryani
40.0,182.0,85,Male,Samosa
31.7,182.0,79,Male,Biryani
29.0,182.0,84,Male,Biryani
30.5,182.5,80,Male,Biryani
43.0,182.8,85,Male,Samosa
22.0,182.9,52,Male,Biryani
26.0,5'2,60,Female,Biryani
23.0,5.4,68,Male,Pakora
21.5,182.9,62,Male,Biryani
29.0,182.9,88.2,Male,Samosa
26.0,13.408,62,Female,Biryani
24.0,183.0,82,Male,Samosa
30.3,183.0,70,Male,Biryani
26.0,5.5,74,Male,Biryani
20.0,50,48,Female,Biryani
22.0,5.8,53,Male,Biryani
25.0,183.0,88,Male,Samosa
20.0,43cm,26,Female,Biryani
22.0,184.5,80,Male,Biryani
21.0,185.0,65,Male,Samosa
35.0,"5'.8""",64,Male,Samosa
27.0,5.9,68,Male,Biryani
25.0,185.9,135,Male,Biryani
27.0,186.0,85,Male,Biryani
36.0,6,68,Male,Pakora
27.0,186.0,101,Male,Biryani
30.0,5.3',50,Female,Biryani
24.0,114,60,Male,Biryani
22.0,6,50,Male,Samosa
26.0,188.0,90,Male,Biryani
50.0,188.0,88,Male,Biryani
31.0,189.0,86,Male,Pakora
40.0,5ft 8 inches,80 Kg,Male,Biryani
25.0,5.7,65,Male,Biryani
28.0,191.5,83,Male,Biryani
